epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,963.945,1.45825,0.77004,0.00384,0.77443,0.65422,0.68983,0.47158,1.42738,0.32114,0.00549,0.00999505,0.00333168,0.00999505,0.00333168,0.00999505,0.00333168,0.00999505,0.00333168
2,1671.77,1.4777,0.78485,0.00374,0.83799,0.67184,0.73062,0.4819,1.43975,0.33153,0.00542,0.0199755,0.00665851,0.0199755,0.00665851,0.0199755,0.00665851,0.0199755,0.00665851
3,2335.9,1.51542,0.82598,0.00382,0.8331,0.65133,0.73247,0.48603,1.47047,0.34935,0.00577,0.029878,0.00995932,0.029878,0.00995932,0.029878,0.00995932,0.029878,0.00995932
4,2984.55,1.54863,0.8629,0.00405,0.84779,0.64709,0.71707,0.48607,1.47299,0.34895,0.0057,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
5,3630.86,1.50666,0.83527,0.00419,0.87071,0.64023,0.71466,0.49111,1.47266,0.35091,0.00564,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
6,4278.57,1.51889,0.84409,0.00415,0.82852,0.62148,0.6577,0.43792,1.48072,0.34906,0.00572,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,4928.02,1.526,0.84453,0.00416,0.82917,0.67196,0.72331,0.47898,1.47161,0.33666,0.00558,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,5592.5,1.5477,0.84608,0.00415,0.76063,0.63515,0.66295,0.44449,1.46964,0.34999,0.00572,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,6243.95,1.52636,0.83759,0.00414,0.77827,0.65679,0.69273,0.45742,1.46858,0.33712,0.00561,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,6881.4,1.5175,0.8449,0.00422,0.70183,0.63628,0.68495,0.45677,1.46444,0.33231,0.00556,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,7517.05,1.52902,0.82764,0.00411,0.77978,0.59372,0.67249,0.45339,1.47053,0.33934,0.00573,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,8152.14,1.54304,0.83414,0.0041,0.87063,0.64139,0.70687,0.47078,1.47507,0.33373,0.0056,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
13,8789.18,1.52273,0.81448,0.00412,0.82215,0.6605,0.70088,0.47505,1.44774,0.33628,0.00567,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
14,9424.36,1.53046,0.82634,0.00417,0.84455,0.61142,0.69681,0.47675,1.44525,0.33842,0.00548,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
15,10060.9,1.51544,0.80895,0.00407,0.85318,0.60437,0.69558,0.48138,1.45558,0.33818,0.00549,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
16,10698.1,1.51993,0.79816,0.00408,0.76812,0.70055,0.71497,0.49008,1.46266,0.3288,0.00556,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
17,11333.4,1.50593,0.78182,0.00407,0.8468,0.67054,0.70754,0.48931,1.44459,0.32457,0.00538,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
18,11969.7,1.49803,0.78227,0.00402,0.83681,0.64563,0.71231,0.49299,1.44151,0.32746,0.00534,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
19,12607.4,1.49186,0.77863,0.00402,0.84279,0.69761,0.74101,0.51201,1.44624,0.32304,0.00542,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
